name,title,company,bio,talk_title,photo_url,twitter,linkedin
Pia Pascal,Founder,InOrbyt,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68cc212dab460060c54d4307_PiaPascal_HEAD%201.png,,
Sam Barberie,Head of Stragegy & Partnerships,Sequence,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68f9a70e197834f0e5e1f909_SamBarberie_HEAD.jpg,,
Sumit Arya,Founder & CEO,SpearTrades,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68c2ba3d77ca7b9506397f4f_Sumit%20Headshot%201.png,,
ChicaBTC,Founder,Bitcoin Butik,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68af31589c253ed63888276f_ChicaBTC_HEAD%201.png,,
Ryan Pacht,Founder,NoIDPay Inc.,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68c84f84c143c131d2fb1122_RyanPacht_HEAD%201.png,,
Kishelle Blaize-Cameron,"Deputy Director, Specialized Supervision",BVI Financial Services Commission,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68cc21ee0a72bb707004ae3a_KishelleCameron_HEAD.jpg,,
Sam Lieberman,Partner,Sadis & Goldberg,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68dd38c93af54556c0b02202_SamLieberman_HEAD.png,,
David Gallo,President,Pledge Protocol,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6877a7b58a3f1e3be869f07d_DavidGallo_HEAD.JPG,,
Diego Ojeda,President,Rilea Group,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68a85fc3280cb05150c91b8b_DiegoOjeda_HEAD%201.png,,
Garett Nell,Founding Partner,Totem Grid,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6852eebadf9e6155ebd7040f_68406fbd74e4cc86ef910eb6_GarettNell_HEAD.jpeg,,
Lin Dai,Co-Founder & CEO,Superlogic,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68a860892d1a2544206252f5_LinDai_HEAD.png,,
Carol Van Cleef,"CEO, Luminous Group, Counsel",Lewis Baach Kaufmann Middlemiss,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68dbd7f734eeaed152367097_CarolVanCleef_HEAD.jpeg,,
Kyle Kempler,Partner,RAZE,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68ff823302f42b50dc827640_KyleKempler_HEAD%201.png,,
Ben Thalman,Senior Protocol Analyst - Ethereum,Figment Inc.,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68a8610f11397a2d26b78f80_BenThalman_HEAD.jpg,,
"""King Ant""",Marketing Director,Doginal Dogs,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68d0234c3c2cb2f5eddccdb5_AnthonyRispoli_HEAD.JPEG,,
