name,org,track,social
FREDRIK SVANTES,ETHEREUM FOUNDATION,Security,https://x.com/fredrik0x
STANISLAS DE MAISTRE,BELEM CAPITAL,DeFi,https://www.linkedin.com/in/standemaistre/
GIO,PARITY TECHNOLOGIES,Security,https://x.com/gioyik
YOICHI HIRAI,ZKSECURITY,Security,https://x.com/pirapira
JULIO M CRUZ,ZKNEXUS,Built on Ethereum,https://x.com/JulioMCruz
PATRICIO WORTHALTER,POAP,I don't know where I fit,https://x.com/worthalter
OLIVIER DESENFANS,ALEPH CLOUD,Zero Tech & TEE,https://x.com/odesenfans
JORDAN JEFFERSON,DOGEOS,Stablecoins & Global Payments,https://x.com/MyDogeCEO
AKAKI MAMAGEISHVILI,OFFCHAIN LABS,Layer 2s,https://www.linkedin.com/in/akaki-mamageishvili-%F0%9F%87%BA%F0%9F%87%A6-b40824b3/
MICHAEL HEINRICH,ZERO GRAVITY LABS (0G.AI),AI Agents and Automation,https://www.linkedin.com/in/mheinrich/
PBJ,PERPL,DeFi,https://twitter.com/0x70626a
DAVID GASQUEZ,FILECOIN,Research,https://x.com/davidgasquez
NISCHAL SHARMA,ENSCRIBE,Built on Ethereum,https://www.linkedin.com/in/nischal--sharma
BOB SUMMERWILL,STRATO,I don't know where I fit,https://x.com/bobsummerwill
ANDRES JUNGE,ANYENK,Research,https://www.linkedin.com/in/ajunge/
DEVANSH MEHTA,ETHEREUM FOUNDATION,Core Protocol,https://x.com/devanshmehta
JULIE BADER,DE GAULLE FLEURANCE,Stablecoins & Global Payments,https://www.linkedin.com/in/julie-bader-311134a2/
ED FELTEN,OFFCHAIN LABS,Layer 2s,https://www.linkedin.com/in/ed-felten-275171/
BIANCA BUZEA,CHRONICLE,Security,https://x.com/buzea200
CLEMENT LESAEGE,KLEROS; SEER,Core Protocol,https://x.com/clesaege
ARIUTOKINTUMI,EVVM.ORG,Research,https://x.com/ariutokintumi
CLAIRE BALVA,ADAN,Regulation & Compliance,https://x.com/ClaireBalva
LOLA RIGAUT-LUCZAK,PLACEHOLDER NETWORK,I don't know where I fit,https://www.linkedin.com/in/lola-rigaut-luczak-17422a17/
DEFINIKOLA,BLOCK ANALITICA,DeFi,https://x.com/definikola
PRANEETH SRIKANTI,ETHEREAL VENTURES,Applied cryptography,https://x.com/bees_neeth
SUNNY JIANG,MAASVENTURES,RWA Tokenisation,https://www.linkedin.com/in/nljiang
ABHIJEET BHAGAT,ENSCRIBE,Built on Ethereum,https://www.linkedin.com/in/abhijeet-bhagat-029543177/
GWEN,INDEPENDANT,I don't know where I fit,https://x.com/Gwenole_M
CHRIS MCCABE,SESSION,Cypherpunk & Privacy,https://x.com/session_app
CACTUS RAAZI,PENNY BY B2C2,Stablecoins & Global Payments,https://www.linkedin.com/in/cactusraazi/
CHUNDA MCCAIN,PAXOS LABS,RWA Tokenisation,https://www.linkedin.com/in/chundamccain/
DYMA BUDORIN,HACKEN,Security,https://www.linkedin.com/in/dyma-budorin-acca-ccssa-56a98035/
"We use cookies to enhance your experience and analyze our website traffic. By accepting, you help us improve our services. Learn more",Accept All,Cookie Settings,https://x.com/EthCC
