name,tier,website,logo_url,description,source_year
yna,Attending Media,https://www.yna.co.kr/,https://framerusercontent.com/images/HIm3eex0bw3E9KG7a3zo4bzSxU.png?scale-down-to=512&width=634&height=288,,2025
theblock,Attending Media,https://www.theblock.co/,https://framerusercontent.com/images/KtvYefz162P1D2BtPOeZWjaBSQ.png?scale-down-to=512&width=634&height=288,,2025
decrypt,Attending Media,https://decrypt.co/,https://framerusercontent.com/images/g7dVe7P2cnlvBOvkhsIVWHjQ1Q.png?scale-down-to=512&width=634&height=288,,2025
techcrunch,Attending Media,https://techcrunch.com/,https://framerusercontent.com/images/2tQ9WdVlrremh8OO6Bu0canRIUQ.png?scale-down-to=512&width=634&height=288,,2025
donga,Attending Media,https://www.donga.com/,https://framerusercontent.com/images/qAXPYM1fyjKiM8v6cybZeC2V80.png?scale-down-to=512&width=634&height=288,,2025
newsis,Attending Media,https://www.newsis.com/,https://framerusercontent.com/images/rIrZbo1R4UK0zmfi0QUNa9Cgc1E.png?scale-down-to=512&width=634&height=288,,2025
mt,Attending Media,https://www.mt.co.kr/,https://framerusercontent.com/images/thWX7glcf59rjakW7GjHn663u0s.png?scale-down-to=512&width=634&height=288,,2025
edaily,Attending Media,https://www.edaily.co.kr/,https://framerusercontent.com/images/KbfMUwLNILAaC3yl2MwGpj0AKU.png?scale-down-to=512&width=634&height=288,,2025
sedaily,Attending Media,https://www.sedaily.com/,https://framerusercontent.com/images/22nVC3fYThxRllS471ThIb4sHO4.png?scale-down-to=512&width=634&height=288,,2025
heraldcorp,Attending Media,https://biz.heraldcorp.com/,https://framerusercontent.com/images/bFrMhDmSxlZZ1xHRcpUfzdrwRw.png?scale-down-to=512&width=634&height=288,,2025
zdnet,Attending Media,https://zdnet.co.kr/,https://framerusercontent.com/images/L0iMIESV6Qoi1PIR9v91muvfKU.png?scale-down-to=512&width=634&height=288,,2025
etnews,Attending Media,https://www.etnews.com/,https://framerusercontent.com/images/kgnBWuJ7zgUBbHdHEZTB6ev5A.png?scale-down-to=512&width=634&height=288,,2025
wowtv,Attending Media,https://www.wowtv.co.kr/,https://framerusercontent.com/images/EqrUjkWpWL7rEgkGTZ6RK1mdLk.png?scale-down-to=512&width=634&height=288,,2025
byline,Attending Media,https://byline.network/,https://framerusercontent.com/images/HaicsHf6poLrQplfkKnNyD6JNw.png?scale-down-to=512&width=634&height=288,,2025
news1,Attending Media,https://www.news1.kr/,https://framerusercontent.com/images/9YCs14dc0UPhdIylVzQWw30CYmo.png?scale-down-to=512&width=634&height=288,,2025
hankookilbo,Attending Media,https://www.hankookilbo.com/,https://framerusercontent.com/images/btEpBqcCCdI6mIceceeWoFN7YE.png?scale-down-to=512&width=634&height=288,,2025
world,Attending Media,https://world.kbs.co.kr/,https://framerusercontent.com/images/Jbb11gdHxnkuRcqpJz5VQLTPm8.png?scale-down-to=512&width=634&height=288,,2025
chosun,Attending Media,https://www.chosun.com/,https://framerusercontent.com/images/tCwMBNDisodk0pQBQgFubijTxtM.png?scale-down-to=512&width=634&height=288,,2025
coinage,Attending Media,https://www.coinage.media/,https://framerusercontent.com/images/hQY616kjHH4Z44E81AeqctXAAY.png?scale-down-to=512&width=634&height=288,,2025
