record_type,name,title,company,title_secondary,company_secondary,is_virtual_speaker,twitter,linkedin,website,profile_url
Speaker,Austin Campbell,Founder & Managing Partner,Zero Knowledge Group,,,No,austincampbell,https://www.linkedin.com/in/jesseaustincampbell/,https://www.zero-knowledge.com/,https://consensus.coindesk.com/agenda/speaker/-austin-campbell
Speaker,Cody Carbone,CEO,The Digital Chamber,,,No,https://x.com/CodyCarboneDC,https://www.linkedin.com/in/codycarbone/,https://digitalchamber.org/,https://consensus.coindesk.com/agenda/speaker/-cody-carbone
Speaker,Nathan Catania,Partner,XReg Consulting,,,No,,https://www.linkedin.com/in/nathan-catania/,xreg.consulting,https://consensus.coindesk.com/agenda/speaker/-nathan-catania
Speaker,Raja Chakravorti,Chief Business Officer,Stellar Development Foundation,,,No,,linkedin.com/rajachakravorti,,https://consensus.coindesk.com/agenda/speaker/-raja-chakravorti
Speaker,Stephanie Chan,Senior Business Project Management Analyst,Wyoming Stable Token Commission,,,No,heystephchan,heystephchan,www.stabletoken.wyo.gov,https://consensus.coindesk.com/agenda/speaker/-stephanie-chan
Speaker,Frank Chaparro,Head of Content and Special Projects,GSR,,,No,@fintechfrank,,gsr.io,https://consensus.coindesk.com/agenda/speaker/-frank-chaparro
Speaker,Sahil Chaturvedi,Founding Designer,Ark Labs,,,No,sahilc0,sahilc0,sahilc.com,https://consensus.coindesk.com/agenda/speaker/-sahil-chaturvedi
Speaker,Gracy Chen,CEO,Bitget,,,No,GracyBitget,https://www.linkedin.com/in/gracychen/,https://www.bitget.com/,https://consensus.coindesk.com/agenda/speaker/-gracy-chen
Speaker,Rashan Colbert,"Director, US Policy",Crypto Council for Innovation,,,No,Rashan,https://www.linkedin.com/in/rashan-a-colbert-b2a00b35/,,https://consensus.coindesk.com/agenda/speaker/-rashan-colbert
Speaker,Matt Cole,Chairman & CEO,Strive,,,No,ColeMacro,https://www.linkedin.com/in/mattcole-cfa/,https://strive.com/,https://consensus.coindesk.com/agenda/speaker/-matt-cole
Speaker,Reeve Collins,Co-founder,"Tether, STBL, and WeFi",,,No,https://x.com/Reeve_Collins,https://www.linkedin.com/in/reevecollins/,https://reevecollins.com/,https://consensus.coindesk.com/agenda/speaker/-reeve-collins
Speaker,Mike Coner,Founder,Blockticity,,,No,Blockticity,https://www.linkedin.com/company/blockticity,https://blockticity.io/,https://consensus.coindesk.com/agenda/speaker/-mike-coner
Speaker,Rachel Conlan,Global Chief Marketing Officer,Binance,,,No,https://x.com/rachelconlan?s=21,http://linkedin.com/in/rachelconlan,,https://consensus.coindesk.com/agenda/speaker/-rachel-conlan
Speaker,Corey Cooper,"Senior Manager, Developer Relations and Ecosystem Marketing",Circle,,,No,,https://www.linkedin.com/in/ccooper82/,,https://consensus.coindesk.com/agenda/speaker/-corey-cooper
Speaker,Taylor Davidson,Associate Attorney,Lewis Brisbois Bisgaard & Smith LLP,,,No,,https://www.linkedin.com/in/taylor-davidson-esq-9782231a8,https://lewisbrisbois.com/attorneys/davidson-taylor-a,https://consensus.coindesk.com/agenda/speaker/-taylor-davidson
Speaker,Nikhilesh De,Editor,CoinDesk,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-nikhilesh-de
Speaker,David Dewhurst,Program Manager,DARPA,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-david-dewhurst
Speaker,Katherine Dowling,President,Bitcoin Standard Treasury Company,,,No,,https://www.linkedin.com/in/katherine-dowling/,,https://consensus.coindesk.com/agenda/speaker/-katherine-dowling
Speaker,Tyler Ehler,Founder and CEO,Tranquil Healthcare,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-tyler-ehler
Speaker,Mazen ElJundi,Global Business Head of Investments,Revolut,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-maz-eljundi
Speaker,Sam Ewen,"Head of Media Innovation, Multimedia & Social",CoinDesk,,,No,SamEwen,,,https://consensus.coindesk.com/agenda/speaker/-sam-ewen
Speaker,Amanda Fabiano,COO,Nakamoto Inc,,,No,@_amanda_fab,,nakamoto.com,https://consensus.coindesk.com/agenda/speaker/-amanda-fabiano
Speaker,Felix Fan,CEO,Trust Wallet,,,No,felix_fan,https://www.linkedin.com/in/fanchiyinfelix/,https://trustwallet.com/,https://consensus.coindesk.com/agenda/speaker/-felix-fan
Speaker,Chengdiao Fan,Founder,Pi Network,,,No,,,minepi.com,https://consensus.coindesk.com/agenda/speaker/-pi-network-speaker
Speaker,Yaya J. Fanusie,Global Head of Policy,Aleo Network Foundation,,,No,SignCurve,https://www.linkedin.com/in/yaya-jata-fanusie-87901738/,,https://consensus.coindesk.com/agenda/speaker/-yaya-fanusie
Speaker,Betsy Farber,"Senior Editor, Content Operations & Strategy",CoinDesk,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-betsy-farber
Speaker,Ben  Fielding,Co-Founder,Gensyn,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-ben-fielding
Speaker,Travis Flaherty,Co-Founder,Trusted Smart Chain,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-travis-flaherty
Speaker,Angus Fletcher,Global Head of Digital Asset Solutions,State Street,,,No,,https://www.linkedin.com/in/fletcherangus/,,https://consensus.coindesk.com/agenda/speaker/-angus-fletcher
Speaker,Alasdair Foster,CEO,Bullish Capital,,,No,,,www.bullish.com,https://consensus.coindesk.com/agenda/speaker/-alasdair-foster
Speaker,Lisa Francoeur,Secretary of Education | Inventor,New York State Assembly Ways & Means Cryptocurrency & Digital Finance Advisory Committee | DeFi All Odds,,,No,,https://www.linkedin.com/in/lisafrancoeur/,https://www.defiallodds.com,https://consensus.coindesk.com/agenda/speaker/-lisa-francoeur
