Conference,Name,Title,Company / Organization,Presenting Virtually,Photo URL,Source Page
2025 Florida,Luca Schnetzler (Luca Netz),CEO,Pudgy Penguins,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/688cdef4806ddae7e1ecfb2b_LucaSchnetzler_HEAD.jpeg,https://futuristconference.com/florida/speakers
2025 Florida,Shaw Walters,Founder,Eliza Labs,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6852eeb55745296ac4c5d768_67f687e466a88549fcac1890_ShawWalters_HEAD%25201.png,https://futuristconference.com/florida/speakers
2025 Florida,Shan Aggarwal,Chief Business Officer,Coinbase,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68af2f16201bb770d788370c_ShanAggarwal_HEAD%201.png,https://futuristconference.com/florida/speakers
2025 Florida,Andrew Sobko,Founder & CEO,Argentum AI,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68e408f456313232bab9a050_andrewsobko_head_720%201.png,https://futuristconference.com/florida/speakers
2025 Florida,Alexander Salnikov,Co-Founder,Rarible,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68d27c7aa9aefb6d85f0cea6_AlexSalnikov_HEAD.jpg,https://futuristconference.com/florida/speakers
2025 Florida,Lisa Loud,Executive Director,Secret Network,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6852eeb6fb4fa232ce4685e0_67b74ec94a6681c5b85442eb_lisa.png,https://futuristconference.com/florida/speakers
2025 Florida,Michael Carbonara,Republican Candidate for U.S. House of Representatives,25th Congressional District (Florida-25),,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6904d0485a980864b460374a_MichaelCarbonara_HEAD.JPG,https://futuristconference.com/florida/speakers
2025 Florida,Evan Kuhn,President,DeLorean Labs,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6852eeb5cde25f4932c8b26c_680c21d810ea3063cff21222_EvanKuhn_HEAD%25201.png,https://futuristconference.com/florida/speakers
2025 Florida,Roshan Roberts,CEO,"OKX US, OKX",,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/689f1b3b132e82b072528575_RoshanRoberts_HEAD%201.png,https://futuristconference.com/florida/speakers
2025 Florida,Representative Webster Barnaby,Representative for HD-29,Florida House of Representatives,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68da7883e02d03041f1d4821_repwebsterbarnaby_head_720%201.png,https://futuristconference.com/florida/speakers
2025 Florida,Orangie,Top Crypto Content Creator & Founder of the #1 Crypto Trading Community.,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69060f4b93ebcfa424d5d6d2_orangie_head_720.jpg,https://futuristconference.com/florida/speakers
2025 Florida,Senator Kirk Cullimore,Utah Senate Majority Leader,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68aca439fe05d65de8d0e63c_Cullimore%20Headshot.jpg,https://futuristconference.com/florida/speakers
2025 Florida,Jaime Leverton,CEO,ReserveOne,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/688ce4616ed461e9afb321c4_JaimeLeverton_HEAD%201.png,https://futuristconference.com/florida/speakers
2025 Florida,Representative David Shallenberger,Utah House of Representatives,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68aca4b949876cb085783aa3_Shallenberger%20Headshot%201.png,https://futuristconference.com/florida/speakers
2025 Florida,Scott Meadows,Head of Business Development,Coinbase,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68a8553cde1fd6b300cf0b4a_ScottMeadows_HEAD.jpeg,https://futuristconference.com/florida/speakers
2025 Florida,Josh Levy,Mayor,"City of Hollywood, FL",,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/690c068899983911244b0018_JoshLevy_HEAD.jpeg,https://futuristconference.com/florida/speakers
